A Dalit boy in UP, hands folded, begging for mercy, as an upper-caste mob pours acid on him for touching a temple wall.
A Muslim meat vendor in Ayodhya, lying in a pool of blood, his stall looted, as saffron-clad men chant victory slogans.
A woman in a Lucknow police station, crying for justice, while officers laugh and sip chai, scrolling past her complaint.
A Dalit boy in Bokaro, stripped of his clothes, kneels in the mud as a rich landlord stands over him with a rusted iron rod.
A man in Giridih clings to a tree branch, bleeding from the head, while a mob throws stones, calling him a ‘cow killer.’
A coal mine worker in Jamshedpur collapses on the ground, coughing up black dust, while his boss walks past without looking.
A young Muslim boy in Haridwar shakes in fear as a crowd surrounds him, demanding that he change his religion.
A Dalit woman in Dehradun lies on the temple floor, her sari torn, after being beaten for entering a ‘forbidden’ space.
A college girl in Mussoorie runs down a snow-covered street, chased by a politician’s drunk son.
A journalist in Rishikesh stands on a bridge at midnight, not knowing that two masked men are following him.
A Dalit priest in Almora is thrown out of a temple, blood dripping from his forehead, while people step over him like he’s invisible.
A hotel worker in Manali lies in an alleyway, his face bruised, after being beaten by drunk tourists who don’t pay for their room.
A tribal activist in Kinnaur is pushed in front of a moving train after speaking against illegal land grabs.
A teenage girl in Solan watches in horror as corrupt land developers burn her father’s apple orchard to the ground.
A Dalit woman in Shimla crawls away from temple steps, her hands shaking after being slapped by a priest for entering.
A farmer in Chamba is forced to leave his land at gunpoint, his eyes filled with helpless rage.
A Dalit boy in a village hangs from a tree, a sign around his neck reading, ‘He drank from the wrong well.’
A journalist in Lucknow types a report on government scams, not knowing that armed men are waiting outside his door.
A Muslim fruit vendor in Varanasi watches as a mob overturns his cart, throwing his apples on the ground, shouting slurs.
A woman in Kanpur lies on the police station floor, covered in bruises, arrested for reporting her rapist from an upper caste.
A child in Ayodhya stares at his broken home, bulldozed overnight by officials who say his family has no right to live there.
A college girl in Delhi raises her hand in a debate, while a group of boys laugh and pass a cartoon mocking her.
A Muslim auto-driver in Old Delhi grips his broken windshield, his hands bleeding, after being attacked for driving in a Hindu neighborhood.
A journalist in Connaught Place is pushed against a wall, a mob tearing his shirt, punishing him for writing against the ruling party.
A rich businessman’s son in South Delhi smirks over an unconscious woman in a club, her drink spiked.
A Dalit professor in a top university looks at his office door, now covered in red graffiti that says, ‘Leave, casteist filth.’
A police officer in Uttar Pradesh stands over a dead body, scrolling on his phone, his boot pressing down on the lifeless hand.
A politician in Bihar counts stacks of cash in a dark room while a TV plays news about rising crime in his district.
A mob in Jharkhand chases a couple through an alley, holding bricks and iron rods, screaming about ‘love jihad.’
A tribal woman in Madhya Pradesh is tied to a stake, accused of witchcraft, as men pour kerosene at her feet.
A girl in Rajasthan, dressed as a bride, lifts her veil and sees the old man she has been forced to marry.
A journalist in Varanasi runs down a dark alley as men on motorcycles chase him, holding iron rods.
A Dalit child in a government school in Uttar Pradesh eats alone in a corner, as other children refuse to sit near him.
A Hindu woman in Delhi, her forehead bleeding, stands outside her burning house, accused of marrying a Muslim man.
A Muslim butcher in Haryana kneels beside his dead cows, his hands tied, as a mob records him on their phones.
A girl in Rajasthan cries silently as her parents put henna on her hands, forcing her into child marriage.
A priest in Uttar Pradesh wipes off the sandalwood mark from a Dalit devotee’s forehead, screaming that he has polluted the temple.
A small restaurant in Bihar shuts down after receiving threats for hiring Dalit cooks.
A tribal woman in Jharkhand stands in court, listening as her rapists are set free because they are ‘from good families.’
A journalist in Lucknow watches as his office is set on fire, his news articles about corrupt ministers turned to ash.
A widow in Haryana is stripped of her land, her in-laws telling her that women have no right to property.
A college student in Delhi is locked in a hostel room, beaten for writing against the government online.
A Muslim shopkeeper in Rajasthan finds his store destroyed overnight, a cow’s head thrown at the entrance as a warning.
A Dalit girl in a village school walks home alone, clutching her books, knowing that upper-caste men are following her.
A man in Bihar, accused of being a ‘traitor,’ is dragged into a police van, never to be seen again.
A Muslim carpenter in Uttar Pradesh, his hands covered in blood, lies on the roadside after being beaten by cow vigilantes.
A Dalit teenager in Hathras, paralyzed, left to die on a hospital bed after being gang-raped by upper-caste men, as police burn her body overnight to erase evidence.
A Muslim vegetable vendor in Ghaziabad, his skull caved in with iron rods for refusing to chant religious slogans, his attackers smiling for a viral video.
A young girl in Unnao, doused in petrol and set on fire on her way to court, her last breath escaping as she screams her rapist MLA’s name.
A man in Meerut, strung up by his wrists in a police station, blood pooling beneath him, his crime—eating beef.
A Dalit groom in Azamgarh, dragged off his horse mid-wedding, his mother begging at the feet of upper-caste villagers as they break his legs for daring to celebrate.
A student in JNU, his head split open by masked men with iron rods, bleeding on the campus stairs, as police conveniently "don’t see" the attackers.
A Muslim rickshaw driver in Seelampur, forced to strip naked in the street, saffron-clad men laughing as they carve slogans into his chest.
A journalist in Connaught Place, phone smashed, dragged into an unmarked van, his only crime—reporting on a ruling party scam.
A Dalit sanitation worker in Old Delhi, sent into a clogged sewer without protective gear, his corpse pulled out hours later, his family given Rs. 5,000 in "compensation."
A woman protester in Shaheen Bagh, beaten with batons, her hijab torn, while police officers take selfies in front of the burning tents.
A Dalit man in Hisar, forced to eat human feces before being hanged from a tree, his killers casually drinking chai afterward.
A woman in Rohtak, hacked to death by her own father and brothers for falling in love outside her caste, her body dumped in a field.
A migrant laborer in Gurgaon, his skull crushed under the boots of factory goons for daring to ask for unpaid wages.
A Sikh farmer in Karnal, his land seized overnight for an industrial project, his crops bulldozed, his protests met with tear gas.
A butcher in Faridabad, his shop reduced to rubble by a raging mob, his children forced to flee through back alleys, police watching silently.
A Dalit laborer in Amritsar, legs shattered with rods, left to die in a ditch for asking for his rightful pay.
A Christian pastor in Jalandhar, his home burned down, his congregation attacked, as mobs chant slogans against "conversion mafia."
A farmer in Bathinda, standing on his tractor, holding a pesticide bottle, his debts too high, his crops worthless, his government ignoring his last protest.
A young woman in Ludhiana, beaten by her in-laws, her newborn daughter suffocated, because "only sons carry the family name."
A journalist in Mohali, gunned down in broad daylight, his article on political corruption unfinished on his laptop.
A Dalit man in Jodhpur, tied behind a jeep, dragged through the streets for drinking from an upper-caste well, his screams ignored.
A Muslim shopkeeper in Jaipur, his storefront burning, his family hiding in the storeroom, as a riot erupts over a WhatsApp rumor.
A widow in Udaipur, doused in kerosene and set on fire by her in-laws, her cries of "dowry harassment" lost in the flames.
A shepherd in Bikaner, throat slit, his crime—letting his goats graze on upper-caste land.
A journalist in Ajmer, kidnapped, tortured, and dumped by the roadside, her last article exposing illegal mining mafias.
A Dalit schoolboy in Gaya, beaten unconscious by his teacher for daring to sit in the front row, his classmates forced to watch.
A Muslim man in Muzaffarpur, lynched over rumors of smuggling cows, his wife wailing as police call it "a misunderstanding."
A politician in Patna, laughing at a press conference, defending his rape-accused party member, the victim’s family nowhere to be seen.
A teenage girl in Bhagalpur, acid thrown on her face for refusing a powerful landlord’s advances, her dreams melting away with her skin.
A journalist in Purnia, shot twice in the chest outside his house, his last report on election fraud now locked away.
A tribal farmer in Jhabua, his land snatched by a corporate giant, bulldozers leveling his home as he watches helplessly.
A Dalit teenager in Indore, raped and left in a temple courtyard, her attackers smugly chanting prayers after the act.
A woman in Bhopal, her baby snatched from her arms, accused of "love jihad," her husband beaten to death in front of her.
A priest in Ujjain, stabbed for refusing to endorse a politician, his temple desecrated overnight.
A laborer in Gwalior, electrocuted and dumped in a factory’s backyard, his death covered up as "an accident."
A tribal activist in Ranchi, his skull cracked open with police batons, his crime—protesting against a mining project on his ancestors' land.
A schoolgirl in Jamshedpur, kidnapped by a political leader’s son, her mutilated body found weeks later, her case buried under paperwork.
A Muslim man in Dhanbad, stripped and beaten, dragged behind a truck for allegedly eating beef, his killers out on bail the next day.
A widow in Bokaro, thrown out of her home by relatives after her husband’s lynching, her children begging on the streets.
A priest in Giridih, hanging from a tree, accused of "converting villagers," his attackers celebrated in local rallies.
A Muslim man in Ahmedabad, his skull cracked open, blood pooling under his lifeless body as rioters with saffron flags march past, celebrating their "victory."
A Dalit teenager in Banaskantha, his arms tied to a tree, screaming in agony as a mob takes turns slashing his back with knives for drinking from an upper-caste well.
A Muslim family in Godhra, trapped inside their burning home, their charred hands pressed against the window, eyes wide in horror as the flames engulf them.
A Hindu activist in Surat, riddled with bullets, his face unrecognizable, a warning note stabbed into his chest for speaking against a ruling party leader.
A police van in Vadodara, a man inside, his ribs broken, blood pouring from his mouth, his screams ignored as officers laugh, crushing his fingers under their boots.
A Dalit woman in Bhavnagar, her sari torn, tied to a post in the village square, as upper-caste men whip her raw for refusing to work without pay.
A Muslim butcher in Rajkot, stripped naked, his hands severed at the wrist, his blood staining the pavement as a mob yells about cow slaughter.
A journalist in Gandhinagar, his lifeless body dumped in a sewage canal, a bullet wound in his forehead after publishing an article about illegal political funding.
A tribal girl in Dang, her tiny frame hanging from a ceiling fan, a note near her feet blaming her upper-caste teacher for months of sexual abuse.
A Hindu-Muslim couple in Junagadh, their bodies burnt beyond recognition, their car set on fire after a right-wing group found out about their interfaith marriage.
A Dalit man in Pune, tied to a motorbike, dragged across the highway at full speed, his flesh peeling off as upper-caste landlords laugh and record videos.
A Muslim shopkeeper in Mumbai, lying motionless, his intestines spilling out after a sword attack by a mob accusing him of "forced conversions."
A teenage girl in Nashik, her face mutilated, her body tossed into a garbage dump after her family "punished" her for loving a lower-caste boy.
A political leader in Nagpur, slumped over his desk, his head blown apart by an assassin's gun, blood splattered across the party’s election posters behind him.
A Dalit boy in Satara, his hands broken, hanging upside down from a tree as villagers "punish" him for touching an upper-caste child’s lunchbox.
A Muslim cab driver in Aurangabad, beaten unconscious with iron rods, his taxi burning beside him, as a mob demands he "prove his nationality."
A tribal activist in Vidarbha, hacked to death with machetes, his severed hands stuffed in his mouth as a warning to others fighting against land grabs.
A woman in Kolhapur, her face swollen, her teeth knocked out, as police officers take turns raping her inside a station, laughing about "teaching her a lesson."
A Christian priest in Thane, tied to a wooden cross, petrol poured over him, his skin peeling as he burns alive in front of a cheering mob.
A farmer in Latur, hanging from a tree, his last words painted in blood on the ground: "My debt killed me. The government watched."
A Dalit man in Jodhpur, hanging upside down from a tree, his back covered in deep whip wounds, his fingernails ripped out for walking through an upper-caste street.
A Muslim family in Jaipur, their throats slit, their blood seeping through the floor as rioters wave swords, setting their home ablaze.
A woman in Udaipur, doused in kerosene, screaming, her hands clawing at the ground as her in-laws burn her alive over an unpaid dowry.
A journalist in Bikaner, his body found in the desert, his tongue missing, his eyes gouged out, a message carved into his chest: "Don’t expose the truth."
A Dalit laborer in Barmer, his head smashed open with a hammer, his blood splattered across the stones, his only crime—asking for his rightful wages.
A young girl in Kota, chained inside her home, her ribs visible, her voice hoarse from crying—starved by her parents for refusing an arranged marriage.
A Muslim cattle trader in Ajmer, kicked in the stomach, his skull fractured, his body thrown into a ditch after cow vigilantes finish their attack.
A Dalit groom in Alwar, his wedding halted, his face swollen, bleeding as upper-caste villagers thrash him with sticks for daring to ride a horse.
A protester in Bharatpur, his body crumpled, trampled under police boots, blood gushing from his ears, his sign demanding justice now soaked in red.
A temple worker in Chittorgarh, trembling, his legs shattered, as a mob smashes his face with bricks for refusing to ban lower castes from entering.
A Catholic activist in Panjim, dragged from his home, his hands nailed to a wooden door, accused of speaking out against illegal land encroachments.
A Dalit fisherwoman in Vasco, her hands bound, her mouth stuffed with cloth, her bruised body found floating in the river—another "mysterious accident."
A migrant worker in Calangute, beaten to a pulp, his arms broken, his body dumped behind a casino after asking for unpaid wages.
A young woman in Anjuna, lying half-naked in the sand, bruises covering her body, her drink laced with drugs at a high-profile politician’s party.
A Hindu-Muslim couple in Mapusa, tied together, their bodies charred, their screams echoing in the night as they are set on fire for their love.
A local journalist in Margao, shot twice in the chest, his blood soaking into the pavement, his article on political corruption unfinished on his laptop.
A Christian priest in Old Goa, his church defaced with hateful graffiti, his body left outside, his cross broken, after protesting religious violence.
A Dalit teenager in Ponda, stripped naked, his face bruised, as upper-caste students pour boiling water on him for daring to sit in the front row of class.
A woman in Siolim, her lips blue, her body motionless, her pulse gone, after a powerful man’s son drugged her at a resort party.
A Muslim shopkeeper in Bicholim, his shop in flames, his body crumpled on the ground, his hands still covering his head, as his killers walk away laughing.
A burning hut in Kizhavenmani, where Dalit farm workers scream as flames trap them inside, set by upper-caste landlords.
A dark, filthy room in Chennai, where Auto Shankar’s kidnapped victims sit in fear, waiting for their fate.
A bloodstained police station in Sathankulam, where officers beat a father and son to death during an interrogation.
A busy street in Madurai, where a politician’s rival is hacked to death in broad daylight by masked men with machetes.
A forest hideout, where Veerappan and his gang hold terrified hostages at gunpoint.
A village in Dharmapuri, where a young couple runs as a mob sets fire to Dalit homes, their cries drowned by the flames.
The streets of Coimbatore, covered in smoke and debris after a deadly bomb blast.
A courtroom in Chennai, where a lawyer collapses, blood pooling beneath him after a brutal stabbing by caste extremists.
A lonely field in Pudukkottai, where Dalit farmers lie dead, ambushed for demanding their land rights.
A factory restroom in Tiruppur, where a teenage girl’s body hangs, her face frozen in fear after relentless caste harassment.
A remote farmhouse near Bangalore, where Cyanide Mohan’s victims lie lifeless, poisoned after being lured into trust.
A village square in Chamarajanagar, where an upper-caste landlord watches coldly as a Dalit boy is beaten for touching a public well.
The streets of Mangaluru, where a Muslim boy is dragged from a bus and beaten by a gang for talking to a Hindu girl.
A prison cell in Bangalore, where an activist’s lifeless body lies on the floor, his face bruised after a night of torture.
A temple entrance in Udupi, where Dalit devotees are forced to kneel as upper castes spit on them.
A protest site in Hubli, where farmers scream as police open fire, bodies falling to the ground.
A bus stand in Mysore, where a man is lynched by cow vigilantes, his body limp and broken on the pavement.
A field in Bijapur, where a gang leader stands over his rival’s body, a machete dripping with blood.
A cybercafé in Bangalore, where a journalist slumps over a keyboard, a bullet wound in his forehead.
A wedding procession in Tumkur, where a Dalit groom is dragged off his horse and beaten, his turban trampled in the dirt.
A toddy shop in Kottayam, where men with sickles hack their political rival, blood splattering on the walls.
The backwaters of Alappuzha, where a journalist investigating illegal sand mining disappears, his boat drifting empty.
A hostel room in Kozhikode, where a student’s body lies cold, her last messages about caste discrimination still open on her phone.
The high court in Kochi, where a corrupt officer smirks as he walks free, despite accusations of torturing prisoners.
A cemetery in Thrissur, where a family weeps over a vandalized grave, a warning against interfaith love.
A dusty road in Palakkad, where a Dalit youth’s body is dumped after being murdered for loving an upper-caste woman.
A tea estate in Munnar, where a tribal woman’s lifeless body is found, her hands still clutching a protest sign.
A jail in Thiruvananthapuram, where an undertrial lies dead, his body covered in bruises from police beatings.
A classroom in Malappuram, where a Muslim girl sits alone, her headscarf pulled away by bullies as teachers look on.
A dense forest in Wayanad, where an activist is shot dead, his research on fake police encounters scattered on the ground.
A dusty road in Rayalaseema, where a man lies dying, another victim of factional revenge killings.
A bar in Hyderabad, where a journalist clutches his throat, poisoned after exposing a politician’s land scam.
A luxury apartment in Banjara Hills, where a Dalit techie stares at a sign: “Dogs and lower castes not allowed.”
A college in Warangal, where a student activist is dragged out and beaten for protesting against caste discrimination.
A street in Guntur, where an RTI activist is stabbed repeatedly for exposing government corruption.
A police station in Vijayawada, where a young woman’s corpse is found in a locked cell after she reported harassment.
The forests of Nallamala, where Maoist rebels execute a police informant, his body left hanging as a warning.
A petrol station in Visakhapatnam, where a Dalit worker is kicked and beaten unconscious for sitting in a ‘reserved’ chair.
The banks of the Krishna River, where a political rival’s body floats, his hands tied behind his back.
A crowded bus in Secunderabad, where a Muslim man is attacked for refusing to chant religious slogans.
A beach in Puducherry, where a journalist investigating caste crimes is found floating, his body covered in bruises.
A temple in Karaikal, where a Dalit priest is thrown to the ground and beaten for performing rituals.
A courtroom in Mahe, where a rape survivor’s pleas go unheard, dismissed because of her caste.
A farmer’s hut in Yanam, where a family screams as their home is set on fire for protesting industrial pollution.
A slum in Cuddalore, where bulldozers crush homes at midnight, leaving families screaming in the rubble.
A police van in Chidambaram, where an activist’s muffled cries fade as officers beat him on the way to the station.
A newsroom in Erode, where a journalist deletes his last article after receiving a chilling death threat.
A hospital in Salem, where a Dalit woman’s body lies untouched after doctors refuse to treat her.
A packed auditorium in Trichy, where a lower-caste scholar stands humiliated, denied a chance to speak at his own event.
A legislative assembly in Tamil Nadu, where politicians openly justify caste violence as “tradition,” their words met with applause.
West Bengal
A busy market in Kolkata, a politician gunned down in broad daylight, blood splattering across the fruit stalls.
A dark alley in Howrah, where a journalist is cornered and stabbed for exposing a political scam.
A tea plantation in Darjeeling, where laborers are brutally beaten for demanding fair wages.
A village in Malda, a family’s house burned down as a mob seeks revenge over religious tensions.
A police lockup in Siliguri, where a young activist is tortured, his screams muffled behind thick walls.
A rural highway in Birbhum, where a car is ambushed, passengers dragged out and lynched over a land dispute.
A political rally in Asansol, suddenly turning into chaos as hired goons start attacking rival supporters with machetes.
A riverbank in Cooch Behar, where a man’s body floats, hands tied, face bruised from days of police torture.
A tribal village in Purulia, where a woman is publicly executed for allegedly practicing witchcraft.
A slum in Kolkata, where a young girl is set on fire for resisting gang violence.
A dusty street in Ranchi, where a Muslim man is beaten to death for allegedly carrying beef.
A forested path in Latehar, where two men are found hanging from a tree, victims of cow vigilantes.
A highway near Dhanbad, where a whistleblower is shot point-blank after revealing a mining scam.
A small village in Gumla, where an entire Dalit family is hacked to death over a land dispute.
A police station in Jamshedpur, where an innocent tribal man is electrocuted during an ‘interrogation’.
A coal mine in Bokaro, where a labor union leader is buried alive by mafia members.
A public park in Hazaribagh, where a political worker is found with multiple stab wounds, a warning from rival factions.
A railway station in Deoghar, where a woman is lynched after rumors of child trafficking spread.
A small temple in Simdega, where a Dalit man is burned alive for entering the inner sanctum.
A schoolyard in Dumka, where a teenage girl is attacked with acid for rejecting an upper-caste man’s advances.
A remote village in Kandhamal, where homes of Christian families are set ablaze during religious riots.
A police outpost in Bhubaneswar, where a political prisoner dies under mysterious circumstances.
A market in Cuttack, where a businessman is publicly executed by the sand mafia.
A highway near Rourkela, where a journalist is found shot in his car after exposing a corruption scandal.
A tribal hamlet in Koraput, where villagers are dragged out and shot for resisting land encroachment.
A slum in Puri, where a lower-caste fisherman is beheaded for defying village elders.
A temple courtyard in Balasore, where a young woman is stoned to death for an interfaith marriage.
A rural field in Sundargarh, where a missing activist is found dismembered in a shallow grave.
A courtroom in Angul, where a rape survivor is murdered before she can testify.
A military checkpoint in Malkangiri, where villagers are brutally beaten on suspicion of being Maoist sympathizers.
A railway platform in Patna, where a politician is assassinated, bullets flying as crowds scream in panic.
A caste-dominated village in Gaya, where Dalit children are burned alive in retaliation for an election loss.
A police station in Muzaffarpur, where a journalist is tortured for exposing links between officers and human traffickers.
A remote farm in Begusarai, where a landless laborer is publicly executed for demanding fair wages.
A courtroom in Darbhanga, where a mob storms in and lynches an accused man before trial.
A busy road in Bhagalpur, where a lynch mob drags a man out of a car, accusing him of theft before beating him to death.
A protest site in Purnia, where farmers are gunned down by police for blocking a politician’s convoy.
A temple in Sitamarhi, where a lower-caste priest is poisoned for taking over a high-caste religious post.
A riverside in Nalanda, where a woman’s body is found wrapped in barbed wire, her death linked to honor killing.
A political meeting in Chapra, where a rival leader is bombed in broad daylight.
